K=4,weight=4.000000,tolerance=0.100000, penalty=1,training time : 5.695770, testing time: 0.035904 
K=4,weight=4.000000,tolerance=0.100000, penalty=10,training time : 5.711727, testing time: 0.035904 
K=4,weight=4.000000,tolerance=0.100000, penalty=20,training time : 5.683802, testing time: 0.034907 
K=4,weight=4.000000,tolerance=0.100000, penalty=30,training time : 5.547167, testing time: 0.034907 
K=4,weight=4.000000,tolerance=0.100000, penalty=40,training time : 7.224682, testing time: 0.034907 
K=4,weight=4.000000,tolerance=0.001000, penalty=1,training time : 5.583072, testing time: 0.034907 
K=4,weight=4.000000,tolerance=0.001000, penalty=10,training time : 5.769573, testing time: 0.034907 
K=4,weight=4.000000,tolerance=0.001000, penalty=20,training time : 5.542126, testing time: 0.033910 
K=4,weight=4.000000,tolerance=0.001000, penalty=30,training time : 7.440107, testing time: 0.037898 
K=4,weight=4.000000,tolerance=0.001000, penalty=40,training time : 6.172496, testing time: 0.041888 
K=4,weight=4.000000,tolerance=0.000010, penalty=1,training time : 5.938122, testing time: 0.034907 
K=4,weight=4.000000,tolerance=0.000010, penalty=10,training time : 5.601023, testing time: 0.034868 
K=4,weight=4.000000,tolerance=0.000010, penalty=20,training time : 5.779546, testing time: 0.036902 
K=4,weight=4.000000,tolerance=0.000010, penalty=30,training time : 5.664853, testing time: 0.034907 
K=4,weight=4.000000,tolerance=0.000010, penalty=40,training time : 7.445092, testing time: 0.040891 
K=4,weight=6.000000,tolerance=0.100000, penalty=1,training time : 5.681808, testing time: 0.036902 
K=4,weight=6.000000,tolerance=0.100000, penalty=10,training time : 5.648895, testing time: 0.034907 
K=4,weight=6.000000,tolerance=0.100000, penalty=20,training time : 5.801487, testing time: 0.034907 
K=4,weight=6.000000,tolerance=0.100000, penalty=30,training time : 5.554149, testing time: 0.033910 
K=4,weight=6.000000,tolerance=0.100000, penalty=40,training time : 5.620970, testing time: 0.034907 
K=4,weight=6.000000,tolerance=0.001000, penalty=1,training time : 5.589561, testing time: 0.035905 
K=4,weight=6.000000,tolerance=0.001000, penalty=10,training time : 5.551157, testing time: 0.034907 
K=4,weight=6.000000,tolerance=0.001000, penalty=20,training time : 5.832405, testing time: 0.035904 
K=4,weight=6.000000,tolerance=0.001000, penalty=30,training time : 5.760597, testing time: 0.037876 
K=4,weight=6.000000,tolerance=0.001000, penalty=40,training time : 5.697765, testing time: 0.037843 
K=4,weight=6.000000,tolerance=0.000010, penalty=1,training time : 5.676821, testing time: 0.035904 
K=4,weight=6.000000,tolerance=0.000010, penalty=10,training time : 5.708242, testing time: 0.034906 
K=4,weight=6.000000,tolerance=0.000010, penalty=20,training time : 5.742645, testing time: 0.137632 
K=4,weight=6.000000,tolerance=0.000010, penalty=30,training time : 5.832404, testing time: 0.034907 
K=4,weight=6.000000,tolerance=0.000010, penalty=40,training time : 5.696275, testing time: 0.035904 
K=4,weight=8.000000,tolerance=0.100000, penalty=1,training time : 5.656383, testing time: 0.034907 
K=4,weight=8.000000,tolerance=0.100000, penalty=10,training time : 5.543178, testing time: 0.034907 
K=4,weight=8.000000,tolerance=0.100000, penalty=20,training time : 5.972032, testing time: 0.033909 
K=4,weight=8.000000,tolerance=0.100000, penalty=30,training time : 5.536089, testing time: 0.033910 
K=4,weight=8.000000,tolerance=0.100000, penalty=40,training time : 5.652885, testing time: 0.037900 
K=4,weight=8.000000,tolerance=0.001000, penalty=1,training time : 5.560050, testing time: 0.035904 
