K=4,weight=0.000000,tolerance=0.100000, penalty=40,training time : 29.626733, testing time: 0.082778 
K=4,weight=0.000000,tolerance=0.001000, penalty=1,training time : 51.709576, testing time: 0.082779 
K=4,weight=0.000000,tolerance=0.001000, penalty=10,training time : 33.464466, testing time: 0.081781 
K=4,weight=0.000000,tolerance=0.001000, penalty=20,training time : 33.771644, testing time: 0.103723 
K=4,weight=0.000000,tolerance=0.001000, penalty=30,training time : 29.460179, testing time: 0.085771 
K=4,weight=0.000000,tolerance=0.001000, penalty=40,training time : 32.451177, testing time: 0.080784 
K=4,weight=0.000000,tolerance=0.000010, penalty=1,training time : 59.715231, testing time: 0.102725 
K=4,weight=0.000000,tolerance=0.000010, penalty=10,training time : 76.514286, testing time: 0.102725 
K=4,weight=0.000000,tolerance=0.000010, penalty=20,training time : 69.661597, testing time: 0.082779 
K=4,weight=0.000000,tolerance=0.000010, penalty=30,training time : 59.247483, testing time: 0.089760 
K=4,weight=0.000000,tolerance=0.000010, penalty=40,training time : 40.212411, testing time: 0.081782 
K=4,weight=2.000000,tolerance=0.100000, penalty=1,training time : 19.659401, testing time: 0.089761 
K=4,weight=2.000000,tolerance=0.100000, penalty=10,training time : 21.331926, testing time: 0.083776 
K=4,weight=2.000000,tolerance=0.100000, penalty=20,training time : 21.483521, testing time: 0.081781 
K=4,weight=2.000000,tolerance=0.100000, penalty=30,training time : 25.099846, testing time: 0.084774 
K=4,weight=2.000000,tolerance=0.100000, penalty=40,training time : 20.757463, testing time: 0.082779 
K=4,weight=2.000000,tolerance=0.001000, penalty=1,training time : 20.888113, testing time: 0.083776 
K=4,weight=2.000000,tolerance=0.001000, penalty=10,training time : 17.535085, testing time: 0.081781 
K=4,weight=2.000000,tolerance=0.001000, penalty=20,training time : 29.098147, testing time: 0.082779 
K=4,weight=2.000000,tolerance=0.001000, penalty=30,training time : 17.523116, testing time: 0.082779 
K=4,weight=2.000000,tolerance=0.001000, penalty=40,training time : 25.221520, testing time: 0.082780 
K=4,weight=2.000000,tolerance=0.000010, penalty=1,training time : 21.174348, testing time: 0.083776 
K=4,weight=2.000000,tolerance=0.000010, penalty=10,training time : 25.137743, testing time: 0.085770 
K=4,weight=2.000000,tolerance=0.000010, penalty=20,training time : 21.774742, testing time: 0.105718 
K=4,weight=2.000000,tolerance=0.000010, penalty=30,training time : 21.808651, testing time: 0.082779 
K=4,weight=2.000000,tolerance=0.000010, penalty=40,training time : 17.393464, testing time: 0.086769 
K=4,weight=4.000000,tolerance=0.100000, penalty=1,training time : 16.218607, testing time: 0.081782 
K=4,weight=4.000000,tolerance=0.100000, penalty=10,training time : 17.745521, testing time: 0.102726 
K=4,weight=4.000000,tolerance=0.100000, penalty=20,training time : 17.361549, testing time: 0.082779 
K=4,weight=4.000000,tolerance=0.100000, penalty=30,training time : 13.979598, testing time: 0.083777 
K=4,weight=4.000000,tolerance=0.100000, penalty=40,training time : 17.743527, testing time: 0.083776 
K=4,weight=4.000000,tolerance=0.001000, penalty=1,training time : 16.820996, testing time: 0.102725 
K=4,weight=4.000000,tolerance=0.001000, penalty=10,training time : 21.690966, testing time: 0.082779 
K=4,weight=4.000000,tolerance=0.001000, penalty=20,training time : 17.904098, testing time: 0.081781 
K=4,weight=4.000000,tolerance=0.001000, penalty=30,training time : 18.101569, testing time: 0.083777 
K=4,weight=4.000000,tolerance=0.001000, penalty=40,training time : 17.792396, testing time: 0.081782 
K=4,weight=4.000000,tolerance=0.000010, penalty=1,training time : 17.546055, testing time: 0.102725 
