K=4,weight=8.000000,tolerance=0.000010, penalty=1, maximum training acc=0.5965082444228904
K=4,weight=8.000000,tolerance=0.000010, penalty=10, maximum training acc=0.588748787584869
K=4,weight=8.000000,tolerance=0.000010, penalty=20, maximum training acc=0.5838991270611057
K=4,weight=8.000000,tolerance=0.000010, penalty=30, maximum training acc=0.5906886517943744
K=4,weight=8.000000,tolerance=0.000010, penalty=40, maximum training acc=0.5984481086323957
K=5,weight=0.000000,tolerance=0.100000, penalty=1, maximum training acc=0.997090203685742
K=5,weight=0.000000,tolerance=0.100000, penalty=10, maximum training acc=0.997090203685742
K=5,weight=0.000000,tolerance=0.100000, penalty=20, maximum training acc=1.0
K=5,weight=0.000000,tolerance=0.100000, penalty=30, maximum training acc=0.997090203685742
K=5,weight=0.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9980601357904947
K=5,weight=0.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9961202715809894
K=5,weight=0.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9990300678952473
K=5,weight=0.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9980601357904947
K=5,weight=0.000000,tolerance=0.001000, penalty=30, maximum training acc=1.0
K=5,weight=0.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9961202715809894
K=5,weight=0.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9961202715809894
K=5,weight=0.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9980601357904947
K=5,weight=0.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9961202715809894
K=5,weight=0.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9980601357904947
K=5,weight=0.000000,tolerance=0.000010, penalty=40, maximum training acc=0.997090203685742
K=5,weight=2.000000,tolerance=0.100000, penalty=1, maximum training acc=0.623666343355965
K=5,weight=2.000000,tolerance=0.100000, penalty=10, maximum training acc=0.6779825412221144
K=5,weight=2.000000,tolerance=0.100000, penalty=20, maximum training acc=0.6052376333656644
K=5,weight=2.000000,tolerance=0.100000, penalty=30, maximum training acc=0.635305528612997
